Date,AGG,AOM,AQMIX,BIL,DBC,IWN,SPY,VDE,VT,^VIX
2021-08-31,1,0,3,1,4,3,0,2,0,3
2021-09-01,1,2,3,1,2,1,1,3,2,3
2021-09-02,1,0,3,0,3,2,1,3,2,3
2021-09-03,3,2,3,2,4,2,0,4,0,3
2021-09-07,2,0,3,0,2,2,1,3,2,2
2021-09-08,1,2,4,0,2,3,2,2,1,3
2021-09-09,2,2,3,0,2,1,0,2,2,3
2021-09-10,1,1,2,2,3,3,2,4,1,1
2021-09-13,0,2,4,2,4,3,0,3,1,0
2021-09-14,2,0,4,2,3,2,1,2,0,3
2021-09-15,2,0,3,1,4,2,0,4,0,2
2021-09-16,2,2,3,2,2,4,0,4,2,1
2021-09-17,0,0,2,0,4,3,1,3,0,2
2021-09-20,0,1,3,0,2,2,3,3,2,0
2021-09-21,2,2,4,0,4,3,2,3,3,0
2021-09-22,1,3,2,1,3,4,4,3,2,1
2021-09-23,0,2,3,2,3,4,4,4,3,1
2021-09-24,1,2,3,0,4,2,2,4,2,0
2021-09-27,0,1,4,2,4,3,3,4,3,0
2021-09-28,1,2,3,2,3,4,2,3,1,2
2021-09-29,1,3,2,2,3,3,4,3,2,2
2021-09-30,2,2,2,2,4,1,4,3,2,1
2021-10-01,1,2,4,0,4,2,3,4,3,1
2021-10-04,1,4,3,2,2,1,3,2,4,1
2021-10-05,1,2,3,2,2,2,3,3,2,0
2021-10-06,3,3,1,1,2,2,4,2,3,0
2021-10-07,1,3,3,0,3,4,2,4,4,0
2021-10-08,4,3,2,0,3,3,4,3,2,0
2021-10-11,2,3,2,2,1,4,4,1,4,0
2021-10-12,4,4,0,2,2,2,4,3,4,2
2021-10-13,4,2,1,1,2,3,3,3,2,1
2021-10-14,1,3,0,0,3,2,4,1,2,1
2021-10-15,2,3,1,0,1,4,4,2,3,2
2021-10-18,2,3,0,1,0,2,4,1,4,3
2021-10-19,1,3,1,1,0,4,2,3,3,1
2021-10-20,2,3,0,1,0,3,4,0,3,2
2021-10-21,3,2,0,2,0,3,4,1,3,2
2021-10-22,2,2,0,2,1,3,4,0,2,4
2021-10-25,4,2,0,2,0,3,2,0,2,4
2021-10-26,2,3,1,1,0,2,2,0,2,4
2021-10-27,2,3,2,1,2,2,2,1,3,4
2021-10-28,3,1,1,1,1,3,3,2,3,2
2021-10-29,2,1,0,2,2,2,2,0,1,2
2021-11-01,1,2,1,0,0,2,2,0,1,3
2021-11-02,3,0,0,1,2,0,0,2,1,4
2021-11-03,3,0,1,2,0,2,2,2,0,4
2021-11-04,3,1,0,1,2,0,1,1,0,3
2021-11-05,3,1,0,1,0,0,1,2,1,2
2021-11-08,2,2,0,2,0,2,0,0,2,3
2021-11-09,2,0,2,1,0,2,1,1,2,3
2021-11-10,1,1,0,1,0,1,3,1,0,3
2021-11-11,2,2,2,1,1,0,3,2,2,4
2021-11-12,3,2,2,1,1,1,2,2,2,4
2021-11-15,2,2,0,0,1,2,1,1,2,3
2021-11-16,2,1,0,0,1,0,1,0,1,3
2021-11-17,4,1,1,2,0,1,1,0,2,4
2021-11-18,3,1,1,0,1,2,0,0,0,3
2021-11-19,4,1,2,0,0,2,1,1,0,4
2021-11-22,3,0,1,0,0,2,0,0,0,4
2021-11-23,3,1,0,0,1,2,2,1,0,3
2021-11-24,4,3,2,1,0,0,0,2,1,3
2021-11-26,3,1,0,0,1,0,1,0,2,3
2021-11-29,1,3,2,0,3,3,3,2,4,0
2021-11-30,2,4,2,0,3,3,3,2,2,0
2021-12-01,2,2,3,0,4,4,3,2,4,0
2021-12-02,3,2,1,0,2,4,3,3,4,2
2021-12-03,1,2,1,0,4,2,4,1,3,0
2021-12-06,1,3,2,1,3,2,4,4,3,1
2021-12-07,0,2,4,0,3,4,4,3,3,0
2021-12-08,0,1,2,1,2,3,1,2,2,1
2021-12-09,1,2,4,0,3,3,2,2,1,3
2021-12-10,0,2,2,0,2,2,1,2,3,2
2021-12-13,1,2,2,1,2,3,2,3,1,1
2021-12-14,2,1,4,1,4,2,1,2,2,2
2021-12-15,0,1,3,1,2,2,3,2,4,0
2021-12-16,0,1,3,0,4,2,1,2,1,2
2021-12-17,2,1,4,1,3,2,2,2,3,1
2021-12-20,0,1,3,0,3,2,2,2,1,2
2021-12-21,0,0,3,1,3,2,0,4,2,3
2021-12-22,2,1,2,1,2,1,0,2,2,4
2021-12-23,2,1,3,0,4,2,2,4,0,4
2021-12-27,1,2,3,1,2,1,2,3,0,2
2021-12-28,2,0,2,2,4,2,1,4,2,4
2021-12-29,0,2,3,0,2,2,2,2,0,3
2021-12-30,1,1,4,1,3,1,0,2,0,2
2021-12-31,0,2,3,2,4,2,0,3,0,4
2022-01-03,0,2,2,1,4,0,2,2,1,4
2022-01-04,0,0,3,2,4,2,0,4,1,2
2022-01-05,1,1,4,1,4,0,0,2,2,4
2022-01-06,0,0,4,1,4,1,0,3,2,3
2022-01-07,1,0,3,0,3,2,0,4,1,2
2022-01-10,1,1,3,1,3,0,0,4,1,2
2022-01-11,1,1,3,0,2,2,1,3,1,4
2022-01-12,2,2,3,0,2,1,1,4,1,4
2022-01-13,2,0,4,0,4,1,0,3,1,4
2022-01-14,0,0,4,2,2,0,0,4,0,4
2022-01-18,0,2,4,1,2,0,2,3,1,2
2022-01-19,0,0,4,0,4,0,0,3,2,3
2022-01-20,2,2,2,1,4,2,0,3,1,3
2022-01-21,2,1,2,2,2,2,1,3,2,4
2022-01-24,1,0,2,1,4,1,1,2,1,3
2022-01-25,2,1,4,2,4,1,0,2,2,3
2022-01-26,0,2,3,0,3,0,0,1,0,3
2022-01-27,2,1,3,0,3,2,1,2,0,2
2022-01-28,1,1,3,1,2,3,2,3,3,0
2022-01-31,0,0,1,0,4,2,2,3,0,3
2022-02-01,3,2,2,1,3,2,0,4,0,3
2022-02-02,1,1,4,0,4,2,0,3,2,2
2022-02-03,0,2,2,0,2,2,2,3,0,3
2022-02-04,1,0,4,2,3,3,0,2,1,3
2022-02-07,2,2,2,2,3,2,0,2,0,4
2022-02-08,1,2,4,1,4,2,0,4,0,2
2022-02-09,0,0,4,1,3,1,2,4,2,4
2022-02-10,1,1,3,0,3,2,0,2,2,3
2022-02-11,3,0,4,0,2,3,0,2,0,4
2022-02-14,2,2,4,2,2,2,0,3,0,3
2022-02-15,1,1,2,1,4,2,2,3,0,3
2022-02-16,2,2,3,0,2,2,1,4,1,1
2022-02-17,0,1,4,1,4,1,2,2,1,3
2022-02-18,2,0,3,2,4,2,2,2,2,1
2022-02-22,1,1,2,0,4,2,3,4,2,0
2022-02-23,1,1,4,0,3,3,4,4,4,1
2022-02-24,1,3,3,0,2,3,3,3,3,1
2022-02-25,1,3,2,0,4,3,4,3,2,0
2022-02-28,0,1,4,1,4,3,3,4,1,0
2022-03-01,2,0,4,1,3,3,2,3,2,2
2022-03-02,0,2,2,2,4,2,4,4,4,1
2022-03-03,2,2,2,0,3,3,4,2,4,0
2022-03-04,0,2,2,1,2,3,2,3,4,0
2022-03-07,2,2,2,1,1,3,2,4,2,2
2022-03-08,2,3,3,2,0,2,2,2,3,0
2022-03-09,0,2,2,0,0,3,3,2,4,0
2022-03-10,1,2,4,2,4,2,4,1,3,0
2022-03-11,1,3,2,0,3,1,3,1,4,0
2022-03-14,1,2,4,2,4,1,4,2,4,2
2022-03-15,1,3,3,0,4,2,2,3,4,0
2022-03-16,2,2,2,0,4,3,3,2,2,0
2022-03-17,2,1,2,2,3,2,1,4,3,0
2022-03-18,1,2,4,0,2,1,0,4,1,2
2022-03-21,2,1,4,0,2,1,1,2,2,2
2022-03-22,0,2,2,0,2,3,0,3,2,2
2022-03-23,2,2,4,1,3,2,1,3,1,0
2022-03-24,0,0,3,0,2,0,0,2,1,3
2022-03-25,1,0,3,0,1,2,1,0,0,3
2022-03-28,2,0,1,2,2,2,0,0,0,4
2022-03-29,0,1,2,1,4,1,1,2,1,4
2022-03-30,2,2,2,1,2,0,0,1,0,4
2022-03-31,2,0,2,0,4,0,2,0,0,2
2022-04-01,2,2,2,2,2,1,0,0,0,4
2022-04-04,2,2,3,0,2,0,2,0,2,3
2022-04-05,0,0,4,0,3,2,1,3,0,2
2022-04-06,0,2,4,1,4,1,2,4,2,4
2022-04-07,2,1,2,0,4,1,1,2,0,3
2022-04-08,1,1,2,2,3,1,2,3,2,3
2022-04-11,0,2,4,0,1,1,1,0,1,3
2022-04-12,0,2,4,1,4,2,1,1,0,2
2022-04-13,0,0,4,2,3,1,0,0,0,3
2022-04-14,0,2,4,1,2,0,2,1,0,2
2022-04-18,0,1,2,1,2,0,1,0,0,3
2022-04-19,2,2,4,1,3,1,2,3,1,3
2022-04-20,2,0,2,2,4,1,2,2,0,3
2022-04-21,0,0,2,1,2,0,0,2,0,2
2022-04-22,1,1,2,1,1,0,0,2,1,4
2022-04-25,4,2,2,0,3,0,2,2,0,2
2022-04-26,2,2,2,1,4,2,0,2,0,2
2022-04-27,2,1,2,2,3,2,0,2,1,1
2022-04-28,3,1,3,1,2,2,1,3,1,1
2022-04-29,3,0,1,0,2,2,2,2,1,1
2022-05-02,3,3,0,1,3,3,1,3,1,2
2022-05-03,4,1,2,0,4,1,1,4,1,0
2022-05-04,4,1,3,1,4,2,1,4,1,0
2022-05-05,1,1,1,0,3,2,2,3,2,2
2022-05-06,3,1,2,0,4,1,1,2,3,2
2022-05-09,4,2,1,0,3,3,1,4,2,0
2022-05-10,3,4,2,1,4,3,2,3,3,1
2022-05-11,2,2,1,0,4,4,3,3,2,2
2022-05-12,1,1,4,1,4,2,2,4,4,0
2022-05-13,1,1,2,2,4,4,0,4,3,1
2022-05-16,0,2,2,2,2,1,0,4,2,4
2022-05-17,1,1,4,2,4,0,2,1,2,2
2022-05-18,1,2,3,0,2,0,0,0,1,2
2022-05-19,2,2,4,1,4,0,0,0,1,2
2022-05-20,0,0,4,2,2,0,2,0,0,4
2022-05-23,2,0,4,2,3,1,1,1,2,3
2022-05-24,2,2,4,0,3,0,2,2,0,1
2022-05-25,2,2,4,1,0,0,2,1,0,1
