,MSE,RMSE,MAE,MAPE
SPY,0.0011476869400054198,0.0338775285403971,0.028224402072117027,21.436195924449517
AOM,0.0004546140105175833,0.02132167935500352,0.015270797276205308,16.615949892814065
VT,0.0012828762391643687,0.03581726174855315,0.030919858506797057,24.901440885085602
AGG,0.00012533132647935463,0.011195147452327487,0.009563126817820029,13.059643129531398
BIL,7.684150508901925e-07,0.0008765928649551014,0.0007793441542349716,28.618227606991248
^VIX,0.037169333836280294,0.19279350050320757,0.11124784964331187,10.6520333418334
VDE,0.0018865460080961685,0.043434387391744905,0.03468550378969421,13.057989310307184
DBC,0.001147851979735109,0.033879964281786204,0.019625351111608964,9.448235045659038
AQMIX,0.0003504117642404948,0.01871928856128071,0.013498824172789766,11.6408037575746
IWN,0.0011505153730777572,0.03391924782594327,0.027004495806443936,12.007891198547398
