,Ticker,Model,Data,MSE,RMSE,MAE,MAPE
0,AGG,GARCH,Train,0.03,0.17,0.12,244.7
1,AGG,GARCH,Test,0.08,0.28,0.21,215.74
2,AGG,EGARCH,Train,0.03,0.17,0.12,246.34
3,AGG,EGARCH,Test,0.07,0.27,0.21,213.82
4,AGG,GJR-GARCH,Train,0.03,0.17,0.12,244.19
5,AGG,GJR-GARCH,Test,0.08,0.27,0.21,215.57
6,AOM,GARCH,Train,0.1,0.32,0.23,218.35
7,AOM,GARCH,Test,0.13,0.37,0.29,240.72
8,AOM,EGARCH,Train,0.1,0.31,0.23,214.59
9,AOM,EGARCH,Test,0.13,0.36,0.29,240.58
10,AOM,GJR-GARCH,Train,0.1,0.32,0.23,215.59
11,AOM,GJR-GARCH,Test,0.13,0.36,0.29,234.24
12,AQMIX,GARCH,Train,0.17,0.42,0.33,137.23
13,AQMIX,GARCH,Test,0.23,0.48,0.37,120.42
14,AQMIX,EGARCH,Train,0.17,0.41,0.33,136.7
15,AQMIX,EGARCH,Test,0.23,0.48,0.38,123.69
16,AQMIX,GJR-GARCH,Train,0.17,0.42,0.33,137.28
17,AQMIX,GJR-GARCH,Test,0.24,0.49,0.38,122.7
18,BIL,GARCH,Train,0.0,0.01,0.01,30.44
19,BIL,GARCH,Test,0.0,0.02,0.01,57.44
20,BIL,EGARCH,Train,0.0,0.01,0.01,31.34
21,BIL,EGARCH,Test,0.0,0.01,0.01,53.13
22,BIL,GJR-GARCH,Train,0.0,0.01,0.01,29.79
23,BIL,GJR-GARCH,Test,0.0,0.02,0.01,55.53
24,DBC,GARCH,Train,0.54,0.73,0.58,224.76
25,DBC,GARCH,Test,0.71,0.84,0.64,224.14
26,DBC,EGARCH,Train,0.53,0.73,0.57,222.32
27,DBC,EGARCH,Test,0.7,0.84,0.64,223.08
28,DBC,GJR-GARCH,Train,0.54,0.73,0.58,223.32
29,DBC,GJR-GARCH,Test,0.72,0.85,0.65,224.77
30,IWN,GARCH,Train,0.89,0.94,0.69,399.55
31,IWN,GARCH,Test,0.89,0.95,0.76,397.49
32,IWN,EGARCH,Train,0.85,0.92,0.68,389.26
33,IWN,EGARCH,Test,0.91,0.96,0.77,411.12
34,IWN,GJR-GARCH,Train,0.88,0.94,0.68,393.6
35,IWN,GJR-GARCH,Test,0.9,0.95,0.76,395.87
36,SPY,GARCH,Train,0.54,0.73,0.54,528.13
37,SPY,GARCH,Test,0.58,0.76,0.61,442.15
38,SPY,EGARCH,Train,0.5,0.71,0.52,499.86
39,SPY,EGARCH,Test,0.56,0.75,0.59,417.11
40,SPY,GJR-GARCH,Train,0.54,0.73,0.53,505.13
41,SPY,GJR-GARCH,Test,0.6,0.77,0.59,413.44
42,VDE,GARCH,Train,1.52,1.23,0.89,435.3
43,VDE,GARCH,Test,1.28,1.13,0.91,506.62
44,VDE,EGARCH,Train,1.44,1.2,0.87,429.85
45,VDE,EGARCH,Test,1.26,1.12,0.9,495.05
46,VDE,GJR-GARCH,Train,1.51,1.23,0.89,430.11
47,VDE,GJR-GARCH,Test,1.27,1.13,0.9,499.49
48,VT,GARCH,Train,0.6,0.77,0.56,331.67
49,VT,GARCH,Test,0.51,0.71,0.58,393.49
50,VT,EGARCH,Train,0.56,0.75,0.54,321.37
51,VT,EGARCH,Test,0.5,0.71,0.56,382.35
52,VT,GJR-GARCH,Train,0.59,0.77,0.55,324.41
53,VT,GJR-GARCH,Test,0.51,0.71,0.56,373.29
54,^VIX,GARCH,Train,34.6,5.88,4.51,428.7
55,^VIX,GARCH,Test,28.33,5.32,4.07,407.0
56,^VIX,EGARCH,Train,33.65,5.8,4.45,419.32
57,^VIX,EGARCH,Test,28.78,5.36,4.11,399.91
58,^VIX,GJR-GARCH,Train,36.19,6.02,4.54,424.09
59,^VIX,GJR-GARCH,Test,29.84,5.46,4.12,400.83
