Date,portfolio_value,daily_return,cumulative_return
2021-08-30,,,0.0
2021-08-31,,,0.0
2021-09-01,,,0.0
2021-09-02,,,0.0
2021-09-03,,,0.0
2021-09-07,,,0.0
2021-09-08,,,0.0
2021-09-09,,,0.0
2021-09-10,,,0.0
2021-09-13,,,0.0
2021-09-14,,,0.0
2021-09-15,,,0.0
2021-09-16,,,0.0
2021-09-17,,,0.0
2021-09-20,,,0.0
2021-09-21,,,0.0
2021-09-22,,,0.0
2021-09-23,,,0.0
2021-09-24,,,0.0
2021-09-27,,,0.0
2021-09-28,,,0.0
2021-09-29,,,0.0
2021-09-30,,,0.0
2021-10-01,,,0.0
2021-10-04,,,0.0
2021-10-05,,,0.0
2021-10-06,,,0.0
2021-10-07,,,0.0
2021-10-08,,,0.0
2021-10-11,,,0.0
2021-10-12,,,0.0
2021-10-13,,,0.0
2021-10-14,,,0.0
2021-10-15,,,0.0
2021-10-18,,,0.0
2021-10-19,,,0.0
2021-10-20,,,0.0
2021-10-21,,,0.0
2021-10-22,,,0.0
2021-10-25,,,0.0
2021-10-26,,,0.0
2021-10-27,,,0.0
2021-10-28,,,0.0
2021-10-29,,,0.0
2021-11-01,,,0.0
2021-11-02,,,0.0
2021-11-03,,,0.0
2021-11-04,,,0.0
2021-11-05,,,0.0
2021-11-08,,,0.0
2021-11-09,,,0.0
2021-11-10,,,0.0
2021-11-11,,,0.0
2021-11-12,,,0.0
2021-11-15,,,0.0
2021-11-16,,,0.0
2021-11-17,,,0.0
2021-11-18,,,0.0
2021-11-19,,,0.0
2021-11-22,,,0.0
2021-11-23,,,0.0
2021-11-24,,,0.0
2021-11-26,,,0.0
2021-11-29,,,0.0
2021-11-30,1000000.0,,0.0
2021-12-01,998919.1342441891,-0.0010808657558109003,-0.0010808657558109003
2021-12-02,1000302.662159268,0.0013850249411087034,0.0003026621592681078
2021-12-03,999331.7931632118,-0.0009705752396584888,-0.0006682068367881433
2021-12-06,999860.1568964922,0.0005287170256116358,-0.00013984310350778628
2021-12-07,1001346.5422812051,0.0014865932745300459,0.0013465422812051209
2021-12-08,1000839.6450349018,-0.000506215605586946,0.0008396450349017481
2021-12-09,999837.1457553875,-0.0010016582421445985,-0.000162854244612487
2021-12-10,999383.5716700774,-0.00045364796380653605,-0.0006164283299225914
2021-12-13,998601.1933701566,-0.0007828608775440893,-0.0013988066298433743
2021-12-14,999674.348598652,0.0010746584678851256,-0.00032565140134799275
2021-12-15,1000385.1876979286,0.0007110706604336325,0.00038518769792861285
2021-12-16,999566.8008504794,-0.0008180717362803458,-0.0004331991495205578
2021-12-17,999056.9635749386,-0.0005100582323332992,-0.0009430364250614387
2021-12-20,998627.1223020263,-0.0004302470115159496,-0.0013728776979737844
2021-12-21,1000194.5979535193,0.001569630562286095,0.00019459795351939313
2021-12-22,1000463.4690612094,0.0002688187961024102,0.00046346906120930953
2021-12-23,1000890.9698068096,0.00042730270401714066,0.0008909698068095828
2021-12-27,1003079.3087111971,0.002186390896113277,0.003079308711197104
2021-12-28,1002394.3704447733,-0.0006828356047976492,0.0023943704447733083
2021-12-29,1004419.9595382554,0.0020207506678067144,0.004419959538255247
2021-12-30,1004239.329959694,-0.0001798347163913805,0.004239329959693894
2021-12-31,1003172.4012345958,-0.0010624247560001576,0.003172401234595723
2022-01-03,1004445.9166840741,0.0012694881237871325,0.004445916684074014
2022-01-04,1008000.7278665259,0.0035390767421177305,0.008000727866525725
2022-01-05,1008445.6468117052,0.00044138752371836176,0.008445646811705121
2022-01-06,1010405.2348112961,0.0019431766161976949,0.01040523481129596
2022-01-07,1009644.8671924161,-0.0007525372916560302,0.009644867192416084
2022-01-10,1008772.7627136323,-0.0008637734981101763,0.008772762713632254
2022-01-11,1009800.4187604132,0.0010187190661417045,0.009800418760413043
2022-01-12,1008218.1345987545,-0.0015669276148657652,0.008218134598754423
2022-01-13,1006501.6062297261,-0.00170253669332332,0.006501606229726065
2022-01-14,1008945.2858206792,0.0024278943777416018,0.008945285820679105
2022-01-18,1010603.9715068344,0.0016439798168104147,0.010603971506834231
2022-01-19,1009934.376520878,-0.0006625691218667962,0.009934376520877919
2022-01-20,1007829.3926786217,-0.002084277841405746,0.007829392678621483
2022-01-21,1005432.8707662169,-0.0023779043653761045,0.005432870766216569
2022-01-24,1004517.1617374117,-0.0009107609820905305,0.004517161737411346
2022-01-25,1006429.0992560064,0.0019033398247649824,0.006429099256006099
2022-01-26,1008822.4214209549,0.0023780335512135764,0.008822421420954463
2022-01-27,1012914.1573640594,0.00405595261982894,0.012914157364058987
2022-01-28,1012795.907628155,-0.00011674210992584921,0.012795907628154524
2022-01-31,1012117.0400131255,-0.0006702906379423279,0.012117040013124969
2022-02-01,1013583.6429250841,0.0014490447783979121,0.013583642925083517
2022-02-02,1014396.3394259989,0.0008018050671865229,0.014396339425998272
2022-02-03,1018649.0770842455,0.004192382693980479,0.018649077084244903
2022-02-04,1020891.1831229727,0.0022010583322227273,0.020891183122972112
2022-02-07,1021989.4811188313,0.0010758227850482527,0.02198948111883059
2022-02-08,1020800.3316639429,-0.0011635633016364721,0.02080033166394224
2022-02-09,1020048.9497018356,-0.0007360714321893447,0.020048949701835017
2022-02-10,1023008.3676765123,0.002901250940498201,0.0230083676765116
2022-02-11,1024242.3876080143,0.001206265726158895,0.02424238760801356
2022-02-14,1025370.411099807,0.001101324750313326,0.02537041109980631
2022-02-15,1022950.9320985182,-0.0023596146086306558,0.022950932098517507
2022-02-16,1022384.1050681608,-0.0005541096963416203,0.02238410506815991
2022-02-17,1020798.4978833325,-0.0015508918585178666,0.020798497883331546
2022-02-18,1020462.0100767448,-0.0003296319570271766,0.020462010076743864
2022-02-22,1021980.5454282757,0.0014880861183814709,0.021980545428274656
2022-02-23,1022481.1459840888,0.0004898337429732891,0.02248114598408768
2022-02-24,1022479.2999665653,-1.8054294015357186e-06,0.02247929996656417
2022-02-25,1023025.2994811176,0.0005339956657999245,0.023025299481116424
2022-02-28,1021901.55458708,-0.0010984526918420556,0.021901554587078875
2022-03-01,1022318.9162958509,0.00040841674709013454,0.0223189162958497
2022-03-02,1031515.4651836299,0.008995772983542816,0.03151546518362869
2022-03-03,1033385.5492734701,0.0018129481844533224,0.03338554927346893
2022-03-04,1037337.6703584985,0.003824440053189271,0.03733767035849733
2022-03-07,1043994.4454874608,0.00641717284465515,0.04399444548745968
2022-03-08,1048938.640930407,0.004735844586450488,0.048938640930405786
2022-03-09,1039901.9614900377,-0.008615069640635742,0.03990196149003644
2022-03-10,1040623.61008145,0.0006939582942782074,0.04062361008144855
2022-03-11,1044076.7760619269,0.0033183621311518863,0.04407677606192539
2022-03-14,1039971.0995869265,-0.003932351115486177,0.03997109958692513
2022-03-15,1036969.3168293736,-0.0028864097846038606,0.0369693168293721
2022-03-16,1034444.9783651211,-0.0024343424856301255,0.034444978365119505
2022-03-17,1038491.9161322752,0.003912182718069923,0.03849191613227365
2022-03-18,1038537.8856836112,4.426568047555257e-05,0.03853788568360961
2022-03-21,1044804.1275373861,0.006033715226142489,0.04480412753738472
2022-03-22,1045149.4463560623,0.0003305105804760622,0.045149446356060885
2022-03-23,1048823.9553477026,0.0035157737531714695,0.04882395534770123
2022-03-24,1051181.5564054782,0.0022478520306050687,0.051181556405476725
2022-03-25,1053983.5591907445,0.0026655745320036672,0.05398355919074316
2022-03-28,1051097.662832649,-0.002738084795469997,0.051097662832647606
2022-03-29,1048963.7938361897,-0.002030133898983877,0.04896379383618843
2022-03-30,1050186.8590190925,0.0011659746409644622,0.05018685901909126
2022-03-31,1046560.8778472742,-0.0034527009557185906,0.04656087784727303
2022-04-01,1048600.4812215103,0.0019488626198520542,0.04860048122150906
2022-04-04,1048809.2076477378,0.00019905238455009133,0.04880920764773666
2022-04-05,1047370.564928936,-0.0013716915415230568,0.047370564928934655
2022-04-06,1046693.1950580092,-0.000646733728833282,0.04669319505800784
2022-04-07,1047158.3898005428,0.0004444423110134821,0.047158389800541434
2022-04-08,1050630.9248298865,0.00331615070190594,0.05063092482988529
2022-04-11,1048359.8054575595,-0.002161671923653574,0.04835980545755825
2022-04-12,1051764.8594262458,0.0032479821822242183,0.051764859426244536
2022-04-13,1054082.3633368174,0.0022034429937465294,0.05408236333681615
2022-04-14,1054123.823623356,3.9333061609525544e-05,0.05412382362335477
2022-04-18,1056735.5867044455,0.002477662512276879,0.05673558670444434
2022-04-19,1056305.772679667,-0.000406737532251511,0.056305772679665855
2022-04-20,1057354.8241305626,0.0009931323656731106,0.05735482413056148
2022-04-21,1054018.9728921815,-0.0031549023679199317,0.054018972892180495
2022-04-22,1051054.4086580174,-0.0028126289093539647,0.05105440865801647
2022-04-25,1047726.6950476326,-0.003166071692362382,0.047726695047631607
2022-04-26,1047568.0327516317,-0.00015143481286750138,0.047568032751630795
2022-04-27,1050465.37446221,0.00276577904250086,0.050465374462209
2022-04-28,1056707.5974748405,0.005942340570555205,0.05670759747483922
2022-04-29,1052676.2681923981,-0.003814990345556102,0.0526762681923969
2022-05-02,1053277.3239834895,0.0005709787607575123,0.05327732398348828
2022-05-03,1056974.0054335732,0.003509694328273083,0.05697400543357167
2022-05-04,1061877.3507317258,0.004639040575213915,0.06187735073172429
2022-05-05,1059944.079975812,-0.0018206158692259944,0.059944079975810416
2022-05-06,1063552.5249935244,0.003404373009748607,0.06355252499352293
2022-05-09,1055402.5341967798,-0.007662988526865866,0.05540253419677832
2022-05-10,1056449.1509969756,0.000991675466263997,0.05644915099697401
2022-05-11,1057375.1633191933,0.0008765327903796916,0.05737516331919168
2022-05-12,1057067.0572068251,-0.0002913876957361117,0.05706705720682348
2022-05-13,1059182.323340221,0.0020010709055537923,0.059182323340219334
2022-05-16,1061789.7316845749,0.0024617181451169756,0.061789731684573024
2022-05-17,1061613.1305307879,-0.00016632403621652525,0.061613130530785876
2022-05-18,1059013.0797307373,-0.002449150943292011,0.05901307973073511
2022-05-19,1058562.6423074729,-0.00042533697825419825,0.05856264230747077
2022-05-20,1058391.6831294459,-0.00016150123874991706,0.05839168312944376
2022-05-23,1059532.1981983995,0.0010775926220256693,0.05953219819839739
2022-05-24,1060885.2400616915,0.0012770181648020795,0.060885240061689494
2022-05-25,1064806.7857442435,0.003696484345775186,0.06480678574424137
2022-05-26,1065469.8426591384,0.0006227016241555638,0.06546984265913625
2022-05-27,1067009.5429756397,0.0014450904707528078,0.06700954297563744
2022-05-31,1067314.2700876389,0.00028558986562510214,0.06731427008763657
2022-06-01,1071343.69875745,0.0037752972884737,0.07134369875744762
2022-06-02,1071769.6309623881,0.00039756821777370277,0.07176963096238564
2022-06-03,1074231.585132235,0.002297092676190271,0.07423158513223238
2022-06-06,1074525.751478143,0.0002738388537253389,0.07452575147814056
2022-06-07,1078601.9147835595,0.003793453344239639,0.07860191478355683
2022-06-08,1078415.4414729464,-0.0001728842755210902,0.07841544147294388
2022-06-09,1078854.2376340013,0.0004068897237372582,0.0788542376339989
2022-06-10,1077790.4248119395,-0.0009860579723863783,0.07779042481193699
2022-06-13,1073146.122573883,-0.004309095841955379,0.07314612257388053
2022-06-14,1073835.2806806723,0.0006421847801456604,0.07383528068066991
2022-06-15,1071909.9268898785,-0.0017929693924503276,0.07190992688987619
2022-06-16,1069693.571463001,-0.00206766946669501,0.0696935714629987
2022-06-17,1066347.1841689083,-0.0031283606664251895,0.06634718416890606
2022-06-21,1068974.1827779606,0.00246354906549473,0.06897418277795841
2022-06-22,1065350.2752996737,-0.003390079514239863,0.06535027529967152
2022-06-23,1059590.414854017,-0.005406541472039672,0.05959041485401495
2022-06-24,1059176.245676952,-0.00039087667391002334,0.05917624567694979
2022-06-27,1060390.8952940574,0.0011467870640633482,0.06039089529405528
2022-06-28,1064107.5549595854,0.003504990171098399,0.06410755495958309
2022-06-29,1063929.440493402,-0.00016738389399939546,0.06392944049339988
2022-06-30,1062005.8203747228,-0.0018080335457087982,0.06200582037472069
2022-07-01,1063153.4389503885,0.0010806142053541024,0.06315343895038628
2022-07-05,1061151.9120806337,-0.0018826321737065443,0.06115191208063142
2022-07-06,1058248.9303143357,-0.0027356891442676945,0.058248930314333425
2022-07-07,1060009.7255746003,0.001663876248607643,0.06000972557459794
2022-07-08,1059460.65679763,-0.0005179846596904403,0.05946065679762769
2022-07-11,1063983.164460913,0.004268688633472184,0.06398316446091079
2022-07-12,1062505.9798518051,-0.0013883533672793824,0.06250597985180284
2022-07-13,1065294.1260303236,0.0026241228109673553,0.06529412603032125
2022-07-14,1067605.9439689023,0.002170121736419839,0.06760594396890007
2022-07-15,1067651.3201970553,4.250278710915545e-05,0.067651320197053
2022-07-18,1065660.1996034218,-0.0018649539938432325,0.0656601996034194
2022-07-19,1066833.3682198834,0.0011008843315141181,0.06683336821988095
2022-07-20,1065540.515310882,-0.0012118602093958986,0.06554051531087945
2022-07-21,1066706.3548538955,0.0010941297175108833,0.06670635485389287
2022-07-22,1065490.2394981992,-0.0011400657267696124,0.06549023949819666
2022-07-25,1066382.4156388738,0.000837338633054685,0.06638241563887126
2022-07-26,1067633.9428379978,0.0011736195015690232,0.06763394283799529
2022-07-27,1068580.6805242572,0.0008867624456962986,0.06858068052425459
2022-07-28,1064999.648621146,-0.0033512040488643535,0.06499964862114349
2022-07-29,1062495.9234000442,-0.0023509164762105517,0.06249592340004151
2022-08-01,1061442.2989217264,-0.000991650372592634,0.06144229892172359
2022-08-02,1060809.2454546306,-0.0005964087428388387,0.060809245454627625
2022-08-03,1063000.5878318397,0.0020657270726085475,0.06300058783183671
2022-08-04,1059369.6902962555,-0.0034157060467764344,0.05936969029625261
2022-08-05,1058493.332650379,-0.0008272444019342684,0.05849333265037626
2022-08-08,1059489.7692172034,0.0009413725491584923,0.059489769217200505
2022-08-09,1060212.9532255295,0.0006825776230576786,0.060212953225526666
2022-08-10,1059166.09780735,-0.0009874010829564739,0.059166097807347384
2022-08-11,1058850.435858691,-0.00029802875045992216,0.05885043585868832
2022-08-12,1060995.9816078043,0.002026297271505717,0.0609959816078014
2022-08-15,1059626.3308606418,-0.0012909104001384009,0.05962633086063884
2022-08-16,1061438.039442867,0.0017097617617276573,0.06143803944286419
2022-08-17,1062288.5939545333,0.0008013228093020075,0.06228859395453057
2022-08-18,1065311.127484914,0.0028453035715358954,0.06531112748491119
2022-08-19,1065089.5245828566,-0.00020801707251527635,0.06508952458285377
2022-08-22,1067267.8795400069,0.0020452317921382246,0.0672678795400039
2022-08-23,1068667.2591169812,0.0013111793241424863,0.06866725911697813
2022-08-24,1068456.7966688229,-0.00019693917481122813,0.06845679666881987
2022-08-25,1070010.1337246613,0.0014538136316615269,0.07001013372465836
2022-08-26,1070315.8236715035,0.0002856888334112906,0.07031582367150047
2022-08-29,1070227.4944449626,-8.252632035077312e-05,0.07022749444495968
2022-08-30,1068724.1480695962,-0.001404697957368528,0.06872414806959326
2022-08-31,1066212.5220606818,-0.0023501162703687406,0.06621252206067885
2022-09-01,1067408.5717380093,0.0011217741797064917,0.06740857173800618
2022-09-02,1066938.4893816025,-0.0004403958979282141,0.06693848938159941
2022-09-06,1067413.4241195843,0.00044513788068245574,0.06741342411958118
2022-09-07,1068503.080871121,0.0010208385307084455,0.06850308087111778
2022-09-08,1068053.0423496899,-0.0004211859839133858,0.06805304234968657
2022-09-09,1067230.7494223006,-0.0007698989608045936,0.06723074942229745
2022-09-12,1066088.2215587713,-0.0010705537337147852,0.06608822155876815
2022-09-13,1067074.0718555334,0.0009247361304869361,0.06707407185553005
2022-09-14,1067979.6304650463,0.0008486370659706033,0.06797963046504285
2022-09-15,1066752.7021662062,-0.0011488311797723805,0.06675270216620288
2022-09-16,1065715.885118563,-0.0009719375873507019,0.06571588511855952
2022-09-19,1067230.0409081082,0.001420787482563357,0.0672300409081048
2022-09-20,1067119.5874900874,-0.00010349541690835018,0.06711958749008384
2022-09-21,1068940.1474214823,0.0017060505239876456,0.0689401474214788
2022-09-22,1065750.4538820821,-0.0029839776783521232,0.06575045388207879
2022-09-23,1066447.7046826887,0.0006542345800246707,0.06644770468268546
2022-09-26,1064415.7083165292,-0.0019053877252838136,0.06441570831652599
2022-09-27,1064211.6485635526,-0.00019171058016353992,0.06421164856354955
2022-09-28,1067182.8452317072,0.002791922708387018,0.06718284523170404
2022-09-29,1065930.053174833,-0.0011739244708361962,0.06593005317482992
2022-09-30,1063545.3896173325,-0.002237167017102082,0.06354538961732925
2022-10-03,1065315.9827836247,0.0016648026342620525,0.06531598278362138
2022-10-04,1062425.2605165946,-0.0027134881234737174,0.06242526051659136
2022-10-05,1063284.543776944,0.0008087940792480541,0.0632845437769407
2022-10-06,1064137.086682375,0.0008018012773916006,0.06413708668237184
2022-10-07,1065145.093980784,0.0009472532355314645,0.06514509398078072
2022-10-10,1064471.0427564487,-0.000632825732516995,0.06447104275644544
2022-10-11,1064007.4307389723,-0.0004355327659040231,0.06400743073896908
2022-10-12,1064624.4325358039,0.0005798848570099935,0.06462443253580075
2022-10-13,1066123.6489271491,0.0014082115209157475,0.06612364892714595
2022-10-14,1063935.3213012505,-0.0020526020861658667,0.06393532130124724
2022-10-17,1064640.171359027,0.0006624933336309979,0.06464017135902389
2022-10-18,1063376.4822357504,-0.0011869635932143519,0.06337648223574721
2022-10-19,1063696.1825849097,0.00030064643566984905,0.0636961825849065
2022-10-20,1062791.529266865,-0.0008504809294758164,0.06279152926686171
2022-10-21,1062768.2425383455,-2.1910909033584502e-05,0.06276824253834223
2022-10-24,1062863.5594013545,8.968734592729177e-05,0.06286355940135135
2022-10-25,1063800.2858208283,0.0008813232998612364,0.06380028582082531
2022-10-26,1062637.8231386098,-0.0010927452245621527,0.06263782313860666
2022-10-27,1062640.1971200765,2.2340457068725783e-06,0.0626401971200734
2022-10-28,1064162.3564643362,0.001432431549629909,0.06416235646433321
2022-10-31,1063648.3192131482,-0.0004830440092767896,0.06364831921314518
2022-11-01,1064010.2689132646,0.00034029076488750754,0.06401026891326156
2022-11-02,1062923.2258855402,-0.0010216471207882272,0.06292322588553723
2022-11-03,1064025.7993481737,0.0010373030109629422,0.06402579934817076
2022-11-04,1064086.298711936,5.685892560070016e-05,0.06408629871193305
2022-11-07,1062812.9665959636,-0.0011966436533519254,0.0628129665959607
2022-11-08,1062598.989461621,-0.00020133094069019197,0.06259898946161813
