date,AGG,AOM,BIL,DBC,IWN,SPY,VDE,VT,^VIX
2021-10-19,0,0,100,0,100,95,100,100,0
2021-10-20,100,100,-24,100,-100,100,-100,100,0
2021-10-21,-100,-100,100,-100,100,-17,100,-46,100
2021-10-22,15,100,-100,100,-100,-63,-100,-100,-100
2021-10-25,-15,-100,100,74,100,100,0,100,0
2021-10-26,0,100,-100,100,-100,-100,4,-61,0
2021-10-27,38,67,-76,100,0,100,-4,-93,0
2021-10-28,-38,-100,100,-100,100,35,100,100,84
2021-10-29,100,100,-100,100,-100,93,-100,50,-84
2021-11-01,-100,-100,100,-100,100,-20,100,100,43
2021-11-02,0,100,-13,-29,-85,-100,100,4,-43
2021-11-03,0,56,-87,100,-15,100,-100,-100,0
2021-11-04,100,-100,0,100,0,17,-100,-100,0
2021-11-05,99,2,0,100,0,28,0,-54,0
2021-11-08,-100,-26,100,-100,100,-35,100,100,0
2021-11-09,-41,-99,-100,100,-100,100,-100,-100,100
2021-11-10,34,100,0,100,0,100,0,0,-100
2021-11-11,-92,-100,100,-100,100,-89,100,100,56
2021-11-12,99,2,-100,100,-100,28,-100,-100,-56
2021-11-15,-99,-2,100,-100,100,100,85,100,0
2021-11-16,0,0,-100,100,86,100,-85,-100,89
2021-11-17,0,0,100,9,100,100,100,0,100
2021-11-18,44,100,100,-16,-90,-100,100,100,-100
2021-11-19,29,67,-100,100,-100,100,-100,-100,-89
2021-11-22,-4,85,-100,100,-96,24,-100,0,0
2021-11-23,-69,100,100,100,100,100,100,100,0
2021-11-24,0,-56,100,-100,100,100,100,-58,69
2021-11-26,15,100,-100,100,-100,-63,-100,-42,-69
2021-11-29,-15,-100,100,-100,100,100,64,100,0
2021-11-30,100,57,-100,100,-100,51,-100,-100,0
2021-12-01,-100,5,100,-100,100,100,100,100,0
2021-12-02,0,100,100,-100,100,-100,100,100,0
2021-12-03,100,-100,-100,100,-100,-100,-100,-47,0
2021-12-06,-100,100,100,-100,100,100,100,100,0
2021-12-07,0,100,100,-100,100,7,100,100,0
2021-12-08,0,100,100,-100,100,100,100,100,0
2021-12-09,0,100,100,-100,100,100,100,100,0
2021-12-10,85,-3,-100,100,-100,24,-100,-100,0
2021-12-13,38,67,-100,100,-100,100,-100,-100,0
2021-12-14,100,100,-100,100,-100,-70,-100,100,0
2021-12-15,100,100,-100,100,-100,91,-100,100,0
2021-12-16,74,-100,-100,-100,-100,-100,-27,0,0
2021-12-17,99,2,-100,100,-100,28,-100,-100,0
2021-12-20,-100,100,100,-100,100,100,100,100,0
2021-12-21,-100,-100,100,-100,100,100,64,100,0
2021-12-22,-100,-100,100,-100,100,-100,100,81,44
2021-12-23,-100,-81,100,-100,100,-52,100,-41,100
2021-12-27,15,100,61,100,9,100,-100,-38,-100
2021-12-28,-100,100,100,-100,100,49,100,100,-44
2021-12-29,-11,-100,-100,100,-100,78,-100,-100,0
2021-12-30,26,100,100,100,100,-100,100,100,15
2021-12-31,38,67,-100,100,-100,100,-100,-100,-15
2022-01-03,-35,100,-100,100,-100,100,-100,-55,0
2022-01-04,-29,1,1,0,1,-24,100,100,0
2022-01-05,63,-6,-100,100,-100,66,-100,-100,0
2022-01-06,-63,0,0,-100,0,0,22,100,0
2022-01-07,0,-100,77,-100,100,-32,100,-94,0
2022-01-10,100,93,-100,100,-100,32,-100,-100,0
2022-01-11,-100,-26,1,-100,2,13,100,100,0
2022-01-12,0,-100,1,-100,73,-52,100,100,0
2022-01-13,0,0,-100,19,-100,84,-100,-62,0
2022-01-14,100,-40,-100,100,-100,-47,-100,-100,0
2022-01-18,18,75,-41,100,-85,13,-100,-100,0
2022-01-19,-100,0,100,-100,100,-49,100,100,60
2022-01-20,15,100,-100,100,-100,-63,-100,-100,-60
2022-01-21,100,93,0,100,0,32,-100,-100,0
2022-01-24,-43,100,0,100,0,100,-23,-61,0
2022-01-25,-90,44,100,-100,100,100,100,100,0
2022-01-26,26,-31,-100,100,-100,100,-100,-100,0
2022-01-27,-26,1,0,-100,0,0,0,50,0
2022-01-28,0,-100,0,17,0,31,0,-100,0
2022-01-31,0,0,0,0,0,0,0,0,0
2022-02-01,0,-100,100,-100,100,-100,100,-21,100
2022-02-02,0,-100,100,-100,100,-100,100,35,84
2022-02-03,0,-100,-93,100,100,100,-89,-100,6
2022-02-04,0,0,-100,4,2,1,0,100,-100
2022-02-07,0,-100,0,-100,21,-41,100,100,100
2022-02-08,0,0,0,1,0,0,-24,43,-100
2022-02-09,100,-100,-7,-100,-100,-100,-100,-100,100
2022-02-10,34,100,0,100,-100,100,-87,-62,-100
2022-02-11,0,-100,0,100,-100,100,0,-100,100
2022-02-14,-100,-100,100,-100,100,-30,100,100,78
2022-02-15,-34,-100,1,-100,52,0,100,100,1
2022-02-16,0,-18,0,-100,0,-18,9,100,1
2022-02-17,0,0,-100,86,-100,100,-100,-100,-100
2022-02-18,0,100,-1,100,-75,-100,-39,-90,-100
2022-02-22,0,-27,30,-100,100,100,100,-55,100
2022-02-23,0,0,-30,10,0,34,-100,0,-100
2022-02-24,99,2,0,100,-100,28,-70,-100,-70
2022-02-25,-99,-100,1,-100,40,0,100,100,0
2022-02-28,0,0,-1,3,-40,49,-100,-61,0
2022-03-01,0,1,0,-77,0,0,0,18,0
2022-03-02,0,-100,100,-100,100,-98,100,-12,100
2022-03-03,0,-100,-100,-95,2,82,-12,-100,100
2022-03-04,0,100,0,66,-100,-100,100,-2,-100
2022-03-07,0,100,0,100,-2,100,-100,100,-100
2022-03-08,9,-100,0,100,0,-100,-77,-100,32
2022-03-09,-9,-100,100,-100,100,1,100,100,57
2022-03-10,0,-97,0,-100,2,26,100,100,-71
2022-03-11,0,-82,17,-87,100,-100,100,58,-6
2022-03-14,0,0,0,0,0,0,67,100,-12
2022-03-15,0,0,-100,15,-100,99,-100,-100,0
2022-03-16,100,-93,-17,100,-100,-23,-100,-100,0
2022-03-17,-100,0,0,-100,1,69,100,100,0
2022-03-18,100,0,0,87,-3,-100,-100,-100,100
2022-03-21,-100,0,0,-100,0,98,100,100,-53
2022-03-22,0,0,0,0,0,0,-71,71,0
2022-03-23,0,100,85,85,51,-100,100,100,-47
2022-03-24,0,-100,0,-100,8,0,100,-31,100
2022-03-25,0,0,-85,10,-59,64,-100,0,-100
2022-03-28,0,0,1,-100,0,0,46,-44,100
2022-03-29,0,0,-1,83,0,0,-100,100,-100
2022-03-30,0,1,0,-100,0,0,0,24,0
2022-03-31,99,2,0,100,0,16,-100,-100,0
2022-04-01,-99,-3,0,-100,0,0,27,100,2
2022-04-04,0,0,0,-100,0,0,0,25,-2
2022-04-05,100,93,0,100,0,8,-100,-100,0
2022-04-06,100,-41,0,100,0,13,-80,-100,0
2022-04-07,-100,-52,1,-100,30,-20,100,100,0
2022-04-08,-100,0,-1,6,0,22,0,0,0
2022-04-11,100,0,0,100,-30,0,-100,24,0
2022-04-12,-100,0,0,0,0,0,3,100,0
2022-04-13,0,0,0,-100,0,-22,97,-2,100
2022-04-14,100,0,0,100,0,-23,-100,-100,-100
2022-04-18,-100,0,0,-100,0,28,100,100,0
2022-04-19,14,100,0,100,0,-16,-100,100,0
2022-04-20,-14,1,0,-100,0,0,0,40,0
2022-04-21,0,0,0,5,0,3,0,-15,0
2022-04-22,86,-41,0,100,0,0,0,-100,0
2022-04-25,-86,0,0,1,0,0,0,90,0
2022-04-26,0,-60,100,-100,100,-88,100,-43,100
2022-04-27,0,0,-100,6,-100,86,-100,100,-100
2022-04-28,0,0,0,-100,0,0,86,-100,100
2022-04-29,100,0,0,100,0,13,-86,-100,-100
2022-05-02,-51,0,0,3,0,0,0,91,0
2022-05-03,-49,1,0,-100,0,0,0,79,0
2022-05-04,69,0,0,100,0,0,0,-100,0
2022-05-05,0,0,0,0,0,0,0,0,0
2022-05-06,-69,100,100,-100,100,-95,100,100,0
2022-05-09,0,0,-100,6,-38,41,-100,100,0
2022-05-10,0,-100,0,-30,0,0,0,52,0
2022-05-11,0,16,0,100,-62,-100,0,-100,3
2022-05-12,0,100,100,-100,100,-41,100,100,-3
2022-05-13,0,0,1,-59,63,0,100,100,0
2022-05-16,0,-100,100,-100,100,-100,100,-59,100
2022-05-17,100,100,70,100,-34,0,0,9,-100
2022-05-18,100,51,-100,100,-100,-2,-100,-45,0
2022-05-19,-100,-100,0,-100,0,80,0,100,0
2022-05-20,-15,100,-100,100,-100,-100,-39,-90,0
2022-05-23,-85,2,64,-100,100,100,100,100,0
2022-05-24,0,0,-100,20,-100,100,-100,-72,0
2022-05-25,24,-53,100,-41,-25,-100,100,100,0
2022-05-26,-24,1,0,-82,0,0,96,100,0
2022-05-27,100,100,36,100,-4,-100,-7,100,0
2022-05-31,-100,0,-100,4,1,83,-100,100,0
2022-06-01,0,-100,100,-100,100,-98,100,37,100
2022-06-02,84,-100,100,-4,0,-100,100,-100,100
2022-06-03,-84,1,53,0,100,0,100,100,-100
2022-06-06,0,-19,0,0,0,0,8,-31,100
2022-06-07,0,36,-100,100,-88,100,-100,-100,-100
2022-06-08,0,100,-100,100,-100,25,-100,-38,-100
2022-06-09,40,100,-100,100,-13,100,-100,-45,0
2022-06-10,0,0,-24,3,0,35,-100,0,0
2022-06-13,-40,0,0,2,0,17,-100,100,0
2022-06-14,0,-100,100,-100,100,-88,100,-43,100
2022-06-15,100,-100,-100,100,-100,41,-100,-100,100
2022-06-16,-7,0,0,1,0,61,-58,100,-100
2022-06-17,-93,-36,0,-100,0,22,100,-99,100
2022-06-21,0,1,0,-100,0,0,0,56,-66
2022-06-22,0,-1,0,0,0,40,-100,-100,100
2022-06-23,0,1,0,-100,0,0,0,66,-100
2022-06-24,0,0,0,3,0,0,0,32,-100
2022-06-27,0,1,0,-9,0,0,0,13,-34
2022-06-28,31,-2,0,100,0,0,0,-100,100
2022-06-29,-31,1,0,-100,0,0,0,88,-66
2022-06-30,71,2,0,100,0,0,0,-100,-34
2022-07-01,-71,0,0,2,0,0,0,81,0
2022-07-05,100,-3,0,-100,0,-100,0,-100,100
2022-07-06,-100,0,100,-2,100,-96,100,-71,100
2022-07-07,0,0,0,0,7,100,100,100,-100
2022-07-08,0,100,-100,100,-100,-100,39,-97,-100
2022-07-11,0,36,100,-100,100,14,100,100,0
2022-07-12,0,0,-100,2,0,93,-100,0,0
2022-07-13,100,-71,0,100,-100,-14,-100,-100,0
2022-07-14,100,-65,0,-100,-7,-100,-72,-100,100
2022-07-15,-100,0,100,-2,100,100,-67,100,-93
2022-07-18,-100,0,100,0,100,-100,100,2,100
2022-07-19,51,100,-100,100,-100,100,-100,100,-100
2022-07-20,-51,-100,100,-100,100,-100,100,100,49
2022-07-21,0,0,-100,0,100,25,100,-100,100
2022-07-22,0,0,0,6,-39,5,-30,100,-100
2022-07-25,0,0,0,-6,0,0,35,-33,-18
2022-07-26,0,0,-100,0,-100,97,-100,-100,100
2022-07-27,100,51,0,100,-100,-2,-100,-45,-100
