,date,SPY,PPO
0,2021-10-19,1000000.0,1000000.0
1,2021-10-20,999117.3569882882,1000322.2415299987
2,2021-10-21,1006088.0842701701,1000383.8108052367
3,2021-10-22,1021914.1502175031,1000342.4368386078
4,2021-10-25,1020032.2608231023,1000567.627874893
5,2021-10-26,1018154.0044581228,1000425.9748434104
6,2021-10-27,1034741.8999803561,999961.9099972419
7,2021-10-28,1043200.2396278922,1000841.5913950615
8,2021-10-29,1038824.2818286411,1000848.365712055
9,2021-11-01,1044979.9394458266,1001153.567768543
10,2021-11-02,1040659.8074898163,1001678.9083714215
11,2021-11-03,1036333.4750366342,1002179.6466595379
12,2021-11-04,1039359.1777913504,1002798.1816641614
13,2021-11-05,1019993.0035605264,1003476.7494602657
14,2021-11-08,1002908.9588535058,1003612.784074783
15,2021-11-09,997771.1813276589,1003005.6308726346
16,2021-11-10,988164.3298841078,1001275.8815394551
17,2021-11-11,991763.6920973688,1001376.9638457678
18,2021-11-12,983254.1208468954,1002694.0016683309
19,2021-11-15,969859.2135650663,1002666.6988333013
20,2021-11-16,984558.8727957376,1003574.1167539478
21,2021-11-17,982828.2516330252,1002369.6829501318
22,2021-11-18,983983.3520323354,1003397.3269215026
23,2021-11-19,970456.0587476285,1001693.7162474457
24,2021-11-22,965658.2916440723,1000859.9646489386
25,2021-11-23,967212.2539747338,1001498.1213701492
26,2021-11-24,956563.3091784304,1002505.8114330687
27,2021-11-26,955345.7501572307,990116.2767563204
28,2021-11-29,953036.739190185,995109.3462326177
29,2021-11-30,947778.7724830972,984532.2974801458
30,2021-12-01,965808.1613094498,978677.931961633
31,2021-12-02,966160.7080920353,987905.2066087545
32,2021-12-03,956424.6010453141,982860.114701444
33,2021-12-06,964769.8352398381,989064.0024580281
34,2021-12-07,953473.8888870967,1000664.569291715
35,2021-12-08,955942.0856733014,1002582.9085260824
36,2021-12-09,937686.7452616051,996668.7153950171
37,2021-12-10,925701.3641013014,1002779.9120710805
38,2021-12-13,927986.5619291792,994811.0806004308
39,2021-12-14,935303.4258368394,989512.2193850492
40,2021-12-15,937373.8909545253,999870.2612307142
41,2021-12-16,936758.5210955578,993533.1300332578
42,2021-12-17,934406.2858303393,986295.9360413373
43,2021-12-20,921058.0865578774,979048.2939691861
44,2021-12-21,914888.4323091182,992275.6659649212
45,2021-12-22,911131.5456950308,1000512.8713513196
46,2021-12-23,921218.8855475126,1005273.2702643293
47,2021-12-27,909002.0058301736,1016483.142949716
48,2021-12-28,912402.4366154616,1015481.4201916897
49,2021-12-29,909345.1377242765,1016331.8045691693
50,2021-12-30,903644.2529971704,1013750.1599937375
51,2021-12-31,909623.4527547259,1011693.6663549187
52,2022-01-03,919456.4779355156,1017729.0629239896
53,2022-01-04,928478.9215574228,1018411.585839105
54,2022-01-05,921151.2032090632,1000411.4199198812
55,2022-01-06,918763.4652900429,1000236.7315318577
56,2022-01-07,922266.37440429,996983.975109136
57,2022-01-10,931724.6322660813,995409.8640074285
58,2022-01-11,927725.9101767364,1004456.3734315694
59,2022-01-12,926467.3667007455,1007126.5022356618
60,2022-01-13,916680.767883533,994749.2837006048
61,2022-01-14,906173.7122003783,995869.0853317941
62,2022-01-18,926842.5834044174,980170.9777787622
63,2022-01-19,926638.5842249518,971820.6454414895
64,2022-01-20,936401.0265543226,962315.5101540979
65,2022-01-21,940255.590518536,947087.5474113534
66,2022-01-24,934659.9437555813,949901.6530442499
67,2022-01-25,938505.0936906392,940181.3628745722
68,2022-01-26,953408.8977565924,937582.5056140741
69,2022-01-27,953544.0335608827,933240.0961699708
70,2022-01-28,968940.3718041665,954670.5493844064
71,2022-01-31,944041.0740381799,971094.1113397039
72,2022-02-01,952272.1918050497,977428.038456098
73,2022-02-02,953577.2529255656,985790.5666100439
74,2022-02-03,951202.7754734105,965699.4920698904
75,2022-02-04,952551.2079143488,969736.378123216
76,2022-02-07,934094.8718141451,967223.678983888
77,2022-02-08,932509.9754109445,974024.2937484526
78,2022-02-09,936306.3407514436,987622.4640187506
79,2022-02-10,950612.109572322,972780.6945869878
80,2022-02-11,946160.6761718921,956620.9511896871
81,2022-02-14,938984.1079700374,953765.1630623601
82,2022-02-15,934742.1811241433,966895.6143722852
83,2022-02-16,943766.2019357702,967816.90312367
84,2022-02-17,947340.726898195,949615.4631086248
85,2022-02-18,942795.76309646,943597.5079139074
86,2022-02-22,949500.6759910991,934590.6245808004
87,2022-02-23,959172.7170621583,919595.4553670248
88,2022-02-24,952918.4016849272,932525.294319097
89,2022-02-25,950272.5079954836,951791.2266759084
90,2022-02-28,947021.5482686575,949899.6877380422
91,2022-03-01,933635.2571218478,936356.1635045733
92,2022-03-02,936866.7580605705,953383.6162110876
93,2022-03-03,939780.9315048187,948911.1487925695
94,2022-03-04,940298.8772610379,942280.3109214948
95,2022-03-07,938563.2065183432,917859.1590689253
96,2022-03-08,925748.3391008915,911553.734046533
97,2022-03-09,922317.0961814361,932126.1052702726
98,2022-03-10,919617.3401525049,928104.7620320257
99,2022-03-11,912699.267938717,916884.3129033026
100,2022-03-14,911683.564063021,909321.5943447546
101,2022-03-15,915823.0710970864,926046.5527774558
102,2022-03-16,933555.1082797014,945795.2479893984
103,2022-03-17,935651.6659234561,957734.2896146463
104,2022-03-18,938529.2662778078,967807.4083873514
105,2022-03-21,938299.8342039326,968361.9523091597
106,2022-03-22,920765.156989131,978954.3849276423
107,2022-03-23,920981.4090407217,967346.2313000483
108,2022-03-24,921996.608781425,980797.4948370184
109,2022-03-25,945168.6158290062,986243.1748703131
110,2022-03-28,943823.0646687036,991582.4979387297
111,2022-03-29,947141.0495688779,1003276.8931568007
112,2022-03-30,947285.8506737523,997705.17628305
113,2022-03-31,936688.7719087877,982385.1470731997
114,2022-04-01,947861.8092811162,985397.6030544771
115,2022-04-04,955463.0262339638,993705.6273346514
116,2022-04-05,963498.7755267756,981007.7023995852
117,2022-04-06,955218.5879227977,971331.270786487
118,2022-04-07,969095.9492251443,975933.2235357012
119,2022-04-08,955995.2153360674,973650.0502316927
120,2022-04-11,962083.5386813263,957093.0787534403
121,2022-04-12,983638.593448704,953861.8310707544
122,2022-04-13,974387.1151693142,964908.2211951746
123,2022-04-14,969356.376616153,953439.0365539012
124,2022-04-18,966404.6581292683,953713.6001385035
125,2022-04-19,951902.1768286028,968265.2342585062
126,2022-04-20,953030.7803666942,967647.6606639856
127,2022-04-21,943383.2143840892,953265.1854511256
128,2022-04-22,948322.6974864871,927531.197368297
129,2022-04-25,940077.7501357999,932525.7289525294
130,2022-04-26,955118.3774941373,906037.4341012377
131,2022-04-27,948114.9405454531,908378.4509110751
132,2022-04-28,945535.4846628326,930835.6918152919
133,2022-04-29,953700.346369236,897714.9003208308
134,2022-05-02,942438.4392932546,902890.5127298045
135,2022-05-03,945053.328370602,906914.061591001
136,2022-05-04,957879.0511406885,934122.4712946028
137,2022-05-05,942960.2455117982,901368.8590807128
138,2022-05-06,945172.7495202681,895847.0235628295
139,2022-05-09,948101.677246956,866737.7050221342
140,2022-05-10,955988.2038460005,868672.5856420341
141,2022-05-11,944641.0950645397,855242.6122262701
142,2022-05-12,932639.8398023804,854355.091627252
143,2022-05-13,937973.9947037131,874106.342888021
144,2022-05-16,941228.6207042481,871434.9500005527
145,2022-05-17,944056.9454148734,888563.0228011508
146,2022-05-18,947799.6422716025,855480.7371435657
147,2022-05-19,941828.2702142589,851470.8391074138
148,2022-05-20,944486.6153278461,852021.7485115962
149,2022-05-23,947726.8889190264,866153.0238502879
150,2022-05-24,941430.6518934757,859805.8760710597
151,2022-05-25,959466.3403625548,867412.9225537181
152,2022-05-26,964492.3409184414,883580.4882759757
153,2022-05-27,953484.5561012874,904300.9127081466
154,2022-05-31,951342.4440312289,898974.5013732314
155,2022-06-01,959305.9851590816,892551.4653252959
156,2022-06-02,970900.1148848677,908194.1843098311
157,2022-06-03,963417.5593705935,895899.7585822616
158,2022-06-06,973180.6029422033,898546.4223193603
159,2022-06-07,977684.2971572655,907981.9987363983
160,2022-06-08,986210.292403296,898830.5640159087
161,2022-06-09,1005409.7651700142,878577.2927455611
162,2022-06-10,1003445.3139717396,854096.4291299911
163,2022-06-13,996383.7064077699,821834.0434364009
164,2022-06-14,988018.9214180391,819249.1911441417
165,2022-06-15,980452.5709004152,829773.224076324
166,2022-06-16,980186.8514937067,804421.2776241527
167,2022-06-17,984020.8717202175,805496.7970904118
168,2022-06-21,995895.4424848423,825121.2474060017
169,2022-06-22,996522.8754547337,822651.5028560557
170,2022-06-23,1011505.9364738637,830240.6759425808
171,2022-06-24,1009334.6698626148,856101.4983411479
172,2022-06-27,1037294.9476748479,852943.0070502257
173,2022-06-28,1044303.6109363028,836103.6226005702
174,2022-06-29,1035874.4354287024,835180.0172320171
175,2022-06-30,1025299.2710280779,828459.3029140468
176,2022-07-01,1030758.7068199922,836812.8194681545
177,2022-07-05,1036832.065473013,837568.9719950099
178,2022-07-06,1042257.1609432107,839806.6478884654
179,2022-07-07,1042019.224966279,851494.7678382144
180,2022-07-08,1033716.4812406828,850644.5887025257
181,2022-07-11,1018574.1140541083,841352.0771828418
182,2022-07-12,1014535.3153939996,834202.8765791355
183,2022-07-13,1023731.0512607167,830076.3097596127
184,2022-07-14,1026434.6609238146,827453.835706863
185,2022-07-15,1014161.1836450078,841152.8819854695
186,2022-07-18,1016424.5979642901,835017.3811995427
187,2022-07-19,1020849.2708910675,856093.04364632
188,2022-07-20,1012336.8433333373,861088.7385100132
189,2022-07-21,1014399.2276399438,868893.7696819016
190,2022-07-22,1015496.8960440989,860792.600271196
191,2022-07-25,1004397.816594945,862891.2157336746
192,2022-07-26,1008493.6239386332,853163.4367202126
193,2022-07-27,1014653.3469430608,874678.3939439751
194,2022-07-28,1026149.8893045187,885020.8108999687
195,2022-07-29,1037476.552839616,897543.5436229359
196,2022-08-01,1023702.2944478272,894902.8641918865
197,2022-08-02,1014613.6091435336,888917.4997874829
198,2022-08-03,1020346.5338610933,900953.0181646114
199,2022-08-04,1026099.1042696217,900109.3828179699
