time/fps,train/reward,time/iterations,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/learning_rate,train/n_updates
803,-0.097627826,1,512,0,,,,,,,,,,,
682,0.55655414,2,1024,1,-0.02140031511662528,0.9969033002853394,0.2,0.6037845611572266,0.009420434,-12.755093514919281,-0.6057224273681641,1.657549510896206,0.1380859375,0.0003,10
683,0.45380893,3,1536,2,-0.01734406368341297,0.9994314908981323,0.2,1.3056586980819702,0.01006851,-12.75281709432602,-0.019034147262573242,3.805936074256897,0.0953125,0.0003,20
545,-0.6358319,4,2048,3,-0.027692970825592057,0.9995895028114319,0.2,0.6368337869644165,0.01125888,-12.765843331813812,-0.04561805725097656,2.606351761519909,0.1328125,0.0003,30
545,-0.9336591,5,2560,4,-0.027045503980480133,1.0005216598510742,0.2,2.192335605621338,0.009216552,-12.771059954166413,-0.018101811408996582,5.57049375474453,0.10703125,0.0003,40
532,0.2531619,6,3072,5,-0.03375720977783203,1.0012414455413818,0.2,2.4851596355438232,0.014601216,-12.779034304618836,-0.004917144775390625,7.0437791526317595,0.15078125,0.0003,50
549,0.6232433,7,3584,6,-0.02665364646818489,1.0017147064208984,0.2,3.3064358234405518,0.013788857,-12.784067332744598,0.004313468933105469,10.286875879764557,0.164453125,0.0003,60
559,-0.60249215,8,4096,7,-0.021969665854703634,1.004341959953308,0.2,0.6049253940582275,0.010668062,-12.798110508918763,-0.0145646333694458,1.8288262158632278,0.1115234375,0.0003,70
572,1.983892,9,4608,8,-0.02928027049638331,1.00126314163208,0.2,0.3849800229072571,0.013984583,-12.795133078098297,-0.008339405059814453,1.3522860065102578,0.145703125,0.0003,80
583,0.6000548,10,5120,8,-0.021248379489406943,1.0012364387512207,0.2,2.9631378650665283,0.008882697,-12.78001309633255,-0.0006365776062011719,7.5711368203163145,0.0708984375,0.0003,90
